gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,curcd,at,epspx,ni,seq,costat,prch_c
001045,12/31/2010,2010,INDL,C,D,STD,USD,25088.0000,-1.4100,-471.0000,-3945.0000,A,10.5000
001045,12/31/2011,2011,INDL,C,D,STD,USD,23848.0000,-5.9100,-1979.0000,-7111.0000,A,8.8900
001045,12/31/2012,2012,INDL,C,D,STD,USD,23510.0000,-5.6000,-1876.0000,-7987.0000,A,0.9880
001045,12/31/2013,2013,INDL,C,D,STD,USD,42278.0000,-11.2500,-1834.0000,-2731.0000,A,27.2000
001045,12/31/2014,2014,INDL,C,D,STD,USD,43771.0000,4.0200,2882.0000,2021.0000,A,54.6400
001045,12/31/2015,2015,INDL,C,D,STD,USD,48415.0000,11.3900,7610.0000,5635.0000,A,56.2000
001045,12/31/2016,2016,INDL,C,D,STD,USD,51274.0000,4.8500,2676.0000,3785.0000,A,50.6400
001045,12/31/2017,2017,INDL,C,D,STD,USD,51396.0000,3.9200,1919.0000,3926.0000,A,54.4800
001045,12/31/2018,2018,INDL,C,D,STD,USD,60580.0000,3.0400,1412.0000,-169.0000,A,59.0800
001045,12/31/2019,2019,INDL,C,D,STD,USD,59995.0000,3.8000,1686.0000,-118.0000,A,37.2300
001045,12/31/2020,2020,INDL,C,D,STD,USD,62008.0000,-18.3600,-8885.0000,-6867.0000,A,30.7800
001075,12/31/2010,2010,INDL,C,D,STD,USD,12362.7030,3.1000,350.0530,3683.3270,A,42.6800
001075,12/31/2011,2011,INDL,C,D,STD,USD,13111.0180,3.0100,339.4730,3821.8500,A,48.8700
001075,12/31/2012,2012,INDL,C,D,STD,USD,13379.6150,3.5400,381.5420,3972.8060,A,54.6600
001075,12/31/2013,2013,INDL,C,D,STD,USD,13508.6860,3.6900,406.0740,4194.4700,A,61.8900
001075,12/31/2014,2014,INDL,C,D,STD,USD,14313.5320,3.5900,397.5950,4367.4930,A,71.1100
001075,12/31/2015,2015,INDL,C,D,STD,USD,15028.2580,3.9400,437.2570,4583.9170,A,73.3100
001075,12/31/2016,2016,INDL,C,D,STD,USD,16004.2530,3.9700,442.0340,4803.6220,A,82.7800
001075,12/31/2017,2017,INDL,C,D,STD,USD,17019.0820,4.3700,488.4560,5006.6900,A,92.4800
001075,12/31/2018,2018,INDL,C,D,STD,USD,17664.2020,4.5600,511.0470,5222.9150,A,92.6400
001075,12/31/2019,2019,INDL,C,D,STD,USD,18479.2470,4.7900,538.3200,5430.6480,A,99.8100
001075,12/31/2020,2020,INDL,C,D,STD,USD,20020.4210,4.8900,550.5590,5633.5030,A,105.5100
