EXEC_FULLNAME,CO_PER_ROL,CONAME,SALARY,AGE,EXECRANKANN,TDC1,TDC1_PCT,GVKEY,EXECID,YEAR,GENDER,TICKER,stock_price,eps,pe_ratio,roa,roe
Gerard J. Arpey,14221,AMERICAN AIRLINES GROUP INC,669.646,51.0,1.0,5231.393,10.77,1045,14591,2010,MALE,AAL,10.5,-1.41,-7.44681,-0.01877,0.11939
Daniel P. Garton,16477,AMERICAN AIRLINES GROUP INC,530.478,52.0,4.0,2372.14,9.762,1045,16654,2010,MALE,AAL,10.5,-1.41,-7.44681,-0.01877,0.11939
Gary F. Kennedy,29348,AMERICAN AIRLINES GROUP INC,502.543,55.0,5.0,1776.069,28.245,1045,28279,2010,MALE,AAL,10.5,-1.41,-7.44681,-0.01877,0.11939
Robert William Reding,29349,AMERICAN AIRLINES GROUP INC,530.479,60.0,3.0,2288.908,9.942,1045,28280,2010,MALE,AAL,10.5,-1.41,-7.44681,-0.01877,0.11939
Thomas W. Horton,33126,AMERICAN AIRLINES GROUP INC,618.135,48.0,2.0,3142.082,44.956,1045,26059,2010,MALE,AAL,10.5,-1.41,-7.44681,-0.01877,0.11939
Isabella Davidov Goren,43629,AMERICAN AIRLINES GROUP INC,423.993,49.0,6.0,1695.521,,1045,41119,2010,FEMALE,AAL,10.5,-1.41,-7.44681,-0.01877,0.11939
Gerard J. Arpey,14221,AMERICAN AIRLINES GROUP INC,613.842,52.0,2.0,5526.835,5.647,1045,14591,2011,MALE,AAL,8.89,-5.91,-1.50423,-0.08298,0.2783
Daniel P. Garton,16477,AMERICAN AIRLINES GROUP INC,530.478,53.0,4.0,2509.451,5.788,1045,16654,2011,MALE,AAL,8.89,-5.91,-1.50423,-0.08298,0.2783
Gary F. Kennedy,29348,AMERICAN AIRLINES GROUP INC,522.0,56.0,5.0,1611.182,-9.284,1045,28279,2011,MALE,AAL,8.89,-5.91,-1.50423,-0.08298,0.2783
Robert William Reding,29349,AMERICAN AIRLINES GROUP INC,530.479,61.0,3.0,2424.863,5.94,1045,28280,2011,MALE,AAL,8.89,-5.91,-1.50423,-0.08298,0.2783
Thomas W. Horton,33126,AMERICAN AIRLINES GROUP INC,618.135,49.0,1.0,3311.662,5.397,1045,26059,2011,MALE,AAL,8.89,-5.91,-1.50423,-0.08298,0.2783
Isabella Davidov Goren,43629,AMERICAN AIRLINES GROUP INC,508.007,50.0,6.0,1599.234,-5.679,1045,41119,2011,FEMALE,AAL,8.89,-5.91,-1.50423,-0.08298,0.2783
Daniel P. Garton,16477,AMERICAN AIRLINES GROUP INC,530.478,54.0,4.0,564.76,-77.495,1045,16654,2012,MALE,AAL,0.988,-5.6,-0.17643,-0.0798,0.23488
Gary F. Kennedy,29348,AMERICAN AIRLINES GROUP INC,522.0,57.0,5.0,560.047,-65.24,1045,28279,2012,MALE,AAL,0.988,-5.6,-0.17643,-0.0798,0.23488
Thomas W. Horton,33126,AMERICAN AIRLINES GROUP INC,618.135,50.0,1.0,656.226,-80.184,1045,26059,2012,MALE,AAL,0.988,-5.6,-0.17643,-0.0798,0.23488
Isabella Davidov Goren,43629,AMERICAN AIRLINES GROUP INC,540.385,51.0,3.0,577.841,-63.868,1045,41119,2012,FEMALE,AAL,0.988,-5.6,-0.17643,-0.0798,0.23488
James B. Ream,46951,AMERICAN AIRLINES GROUP INC,569.8,56.0,2.0,626.487,,1045,44119,2012,MALE,AAL,0.988,-5.6,-0.17643,-0.0798,0.23488
Daniel P. Garton,16477,AMERICAN AIRLINES GROUP INC,541.087,55.0,4.0,9742.047,1624.989,1045,16654,2013,MALE,AAL,27.2,-11.25,-2.41778,-0.04338,0.67155
Thomas W. Horton,33126,AMERICAN AIRLINES GROUP INC,591.911,51.0,1.0,19092.978,2809.513,1045,26059,2013,MALE,AAL,27.2,-11.25,-2.41778,-0.04338,0.67155
