EXEC_FULLNAME,CO_PER_ROL,CONAME,SALARY,AGE,EXECRANKANN,TDC1,TDC1_PCT,GVKEY,EXECID,YEAR,GENDER,TICKER
Gerard J. Arpey,14221,AMERICAN AIRLINES GROUP INC,669.646,51,1,5231.393,10.77,1045,14591,2010,MALE,AAL
Daniel P. Garton,16477,AMERICAN AIRLINES GROUP INC,530.478,52,4,2372.14,9.762,1045,16654,2010,MALE,AAL
Gary F. Kennedy,29348,AMERICAN AIRLINES GROUP INC,502.543,55,5,1776.069,28.245,1045,28279,2010,MALE,AAL
Robert William Reding,29349,AMERICAN AIRLINES GROUP INC,530.479,60,3,2288.908,9.942,1045,28280,2010,MALE,AAL
Thomas W. Horton,33126,AMERICAN AIRLINES GROUP INC,618.135,48,2,3142.082,44.956,1045,26059,2010,MALE,AAL
Isabella Davidov Goren,43629,AMERICAN AIRLINES GROUP INC,423.993,49,6,1695.521,,1045,41119,2010,FEMALE,AAL
Gerard J. Arpey,14221,AMERICAN AIRLINES GROUP INC,613.842,52,2,5526.835,5.647,1045,14591,2011,MALE,AAL
Daniel P. Garton,16477,AMERICAN AIRLINES GROUP INC,530.478,53,4,2509.451,5.788,1045,16654,2011,MALE,AAL
Gary F. Kennedy,29348,AMERICAN AIRLINES GROUP INC,522,56,5,1611.182,-9.284,1045,28279,2011,MALE,AAL
Robert William Reding,29349,AMERICAN AIRLINES GROUP INC,530.479,61,3,2424.863,5.94,1045,28280,2011,MALE,AAL
Thomas W. Horton,33126,AMERICAN AIRLINES GROUP INC,618.135,49,1,3311.662,5.397,1045,26059,2011,MALE,AAL
Isabella Davidov Goren,43629,AMERICAN AIRLINES GROUP INC,508.007,50,6,1599.234,-5.679,1045,41119,2011,FEMALE,AAL
Daniel P. Garton,16477,AMERICAN AIRLINES GROUP INC,530.478,54,4,564.76,-77.495,1045,16654,2012,MALE,AAL
Gary F. Kennedy,29348,AMERICAN AIRLINES GROUP INC,522,57,5,560.047,-65.24,1045,28279,2012,MALE,AAL
Thomas W. Horton,33126,AMERICAN AIRLINES GROUP INC,618.135,50,1,656.226,-80.184,1045,26059,2012,MALE,AAL
Isabella Davidov Goren,43629,AMERICAN AIRLINES GROUP INC,540.385,51,3,577.841,-63.868,1045,41119,2012,FEMALE,AAL
James B. Ream,46951,AMERICAN AIRLINES GROUP INC,569.8,56,2,626.487,,1045,44119,2012,MALE,AAL
Daniel P. Garton,16477,AMERICAN AIRLINES GROUP INC,541.087,55,4,9742.047,1624.989,1045,16654,2013,MALE,AAL
Thomas W. Horton,33126,AMERICAN AIRLINES GROUP INC,591.911,51,1,19092.978,2809.513,1045,26059,2013,MALE,AAL
Isabella Davidov Goren,43629,AMERICAN AIRLINES GROUP INC,551.193,52,3,9241.478,1499.312,1045,41119,2013,FEMALE,AAL
James B. Ream,46951,AMERICAN AIRLINES GROUP INC,581.196,57,2,10088.228,1510.285,1045,44119,2013,MALE,AAL
Derek J. Kerr,49254,AMERICAN AIRLINES GROUP INC,33.622,48,9,8279.828,,1045,46189,2013,MALE,AAL
Stephen L. Johnson,49255,AMERICAN AIRLINES GROUP INC,35.724,56,8,8384.009,,1045,46190,2013,MALE,AAL
William Douglas Parker,49256,AMERICAN AIRLINES GROUP INC,42.308,51,6,17661.13,,1045,46191,2013,MALE,AAL
J. Scott Kirby,49257,AMERICAN AIRLINES GROUP INC,42.868,46,5,13283.563,,1045,46192,2013,MALE,AAL
"Robert D. Isom, Jr.",49258,AMERICAN AIRLINES GROUP INC,37.826,49,7,9590.929,,1045,46193,2013,MALE,AAL
Derek J. Kerr,49254,AMERICAN AIRLINES GROUP INC,563.86,49,5,5629.766,-32.006,1045,46189,2014,MALE,AAL
Stephen L. Johnson,49255,AMERICAN AIRLINES GROUP INC,566.067,57,4,5684.472,-32.199,1045,46190,2014,MALE,AAL
